p,epsilon,nb
101.1673417,656.1952621,0.615
101.4394598,657.3989751,0.616
101.7117752,658.6046614,0.617
101.9846826,659.8083744,0.618
102.258182,661.0140607,0.619
102.532076,662.219747,0.62
102.8063647,663.4254333,0.621
103.0812454,664.6330929,0.622
103.3565208,665.8387792,0.623
103.6323881,667.0464388,0.624
103.9086501,668.2540984,0.625
104.1855041,669.4637313,0.626
104.4627527,670.6713909,0.627
104.7405934,671.8810238,0.628
105.0188287,673.0906567,0.629
105.2974586,674.3002896,0.63
105.5766806,675.5099225,0.631
105.8564945,676.7215287,0.632
106.1367031,677.9331349,0.633
106.4173064,679.1447411,0.634
106.6985016,680.3563473,0.635
106.9802889,681.5699268,0.636
107.2624708,682.7835063,0.637
107.5450473,683.9970858,0.638
107.8282159,685.2106653,0.639
108.1117791,686.4262181,0.64
108.3959343,687.6397976,0.641
108.6804842,688.8553504,0.642
108.965626,690.0709032,0.643
109.2513598,691.2884293,0.644
109.537291,692.5039821,0.645
109.8240115,693.7215082,0.646
110.1111267,694.9390343,0.647
110.3986365,696.1565604,0.648
110.6867383,697.3760598,0.649
110.9752347,698.5935859,0.65
111.2643232,699.8130853,0.651
111.5538063,701.034558,0.652
111.8438814,702.2540574,0.653
112.1345485,703.4755301,0.654
112.4254129,704.6950295,0.655
112.7170666,705.9165022,0.656
113.009115,707.1399482,0.657
113.3015581,708.3614209,0.658
113.5945931,709.5848669,0.659
113.8882202,710.8083129,0.66
114.1822419,712.0317589,0.661
114.4766582,713.2571782,0.662
114.7716666,714.4806242,0.663
115.0672669,715.7060435,0.664
115.3632619,716.9314628,0.665
115.6596516,718.1568821,0.666
115.9566332,719.3842747,0.667
116.2542069,720.6116673,0.668
116.5521752,721.8390599,0.669
116.8507355,723.0664525,0.67
117.1496904,724.2938451,0.671
117.4492374,725.523211,0.672
117.749179,726.7525769,0.673
118.0497126,727.9819428,0.674
118.3506408,729.2113087,0.675
118.652161,730.4426479,0.676
118.9542733,731.6739871,0.677
119.2567802,732.9053263,0.678
119.5596817,734.1366655,0.679
119.8633726,735.369978,0.68
120.1672608,736.6013172,0.681
120.471741,737.8346297,0.682
120.7768132,739.0699155,0.683
121.08228,740.303228,0.684
121.3883388,741.5385138,0.685
121.6949896,742.7718263,0.686
122.0020351,744.0090854,0.687
122.3094753,745.2443712,0.688
122.6175074,746.479657,0.689
122.9261315,747.7169161,0.69
123.2351503,748.9541752,0.691
123.5447611,750.1914343,0.692
123.8547665,751.4306667,0.693
124.1653639,752.6698991,0.694
124.476356,753.9071582,0.695
124.7879401,755.1483639,0.696
125.1001161,756.3875963,0.697
125.4126868,757.628802,0.698
125.7258496,758.8680344,0.699
126.0394069,760.1092401,0.7
126.3535563,761.3524191,0.701
126.6681003,762.5936248,0.702
126.9832363,763.8368038,0.703
127.2989643,765.0799828,0.704
127.615087,766.3231618,0.705
127.9318016,767.5683141,0.706
128.2489109,768.8114931,0.707
128.5666122,770.0566454,0.708
128.8847082,771.3017977,0.709
129.2033961,772.5489233,0.71
129.5226761,773.7940756,0.711
129.8423507,775.0412012,0.712
130.1626173,776.2883268,0.713
130.4832785,777.5354524,0.714
130.8045318,778.7845513,0.715
131.126377,780.0336502,0.716
131.4486169,781.2807758,0.717
131.7712514,782.531848,0.718
132.0946753,783.7809469,0.719
132.4184938,785.0320191,0.72
132.742707,786.2830913,0.721
133.0675122,787.5341635,0.722
133.3929094,788.7852357,0.723
